,district,rooms,size,level,max_levels,price,kocha_grouped
1849,Юнусабадский,3,80.0,1,10,90000.0,Кашкар
1850,Яккасарайский,3,80.0,1,10,90000.0,Абдуллы Каххара
1851,Юнусабадский,2,54.0,2,4,58000.0,Киёт
1852,Яккасарайский,3,75.0,3,9,53000.0,Бобур
1853,Шайхантахурский,2,55.0,3,4,43000.0,Бешагач
1854,Яккасарайский,1,27.0,3,3,19500.0,Кушбеги
1855,Олмазорский,2,50.0,1,9,37000.0,other_low
1856,Олмазорский,2,58.0,2,9,34000.0,Каракамыш-2/3
1857,Мирзо-Улугбекский,2,45.0,3,3,26000.0,Авайхон
1858,Юнусабадский,1,45.0,5,5,24000.0,other_very_low
1859,Яшнободский,2,58.0,3,3,37000.0,Гузал
1860,Мирзо-Улугбекский,3,74.0,4,4,51000.0,other_medium
1861,Мирзо-Улугбекский,3,80.0,1,4,98000.0,ц-1 Буюк ипак йули (Ц-1) 
1862,Юнусабадский,4,110.0,3,9,88000.0,ц-5 Киёт (Ц-5) 
1863,Мирабадский,3,70.0,2,4,60000.0,Фидокор (Чехова) 
1864,Учтепинский,4,80.0,5,5,45000.0,Чиланзар 23-й квартал
1865,Учтепинский,3,100.0,4,12,54000.0,Гулистон
1866,Яккасарайский,4,110.0,3,10,73000.0,Бабура
1867,Юнусабадский,1,46.0,7,9,39500.0,Киёт
1868,Учтепинский,3,78.0,2,4,56000.0,Чиланзар 14-й квартал
1869,Мирзо-Улугбекский,2,48.0,3,3,33000.0,Алтынтепа
1870,Юнусабадский,4,99.0,1,4,72000.0,Юнусабад 2-й квартал
1871,Яккасарайский,1,29.0,9,9,15714.0,other_very_low
1872,Яккасарайский,2,65.0,2,9,52500.0,Тафаккур
1873,Мирзо-Улугбекский,2,50.0,1,5,52000.0,Буюк Ипак йули (Луначарское) 
1874,Мирабадский,5,300.0,3,8,425000.0,Айбека (пр-т Косманавтов) 
1875,Учтепинский,4,80.0,1,4,58000.0,Чиланзар 26-й квартал
1876,Учтепинский,2,54.0,5,5,30000.0,Чиланзар 25-й квартал
1877,Учтепинский,3,90.0,2,5,65000.0,Чиланзар 24-й квартал
1878,Учтепинский,2,50.0,4,4,33000.0,Чиланзар 24-й квартал
1879,Учтепинский,4,91.0,2,4,65000.0,Чиланзар 15-й квартал
1880,Мирабадский,2,61.0,2,4,39000.0,Куйлюк 4-й квартал
1881,Юнусабадский,3,101.0,8,9,125000.0,Юнусабад 11-й квартал
1882,Яшнободский,3,74.0,8,9,59500.0,other_high
1883,Шайхантахурский,3,72.0,2,9,58999.0,Лабзак
1884,Мирзо-Улугбекский,3,90.0,2,9,51000.0,Карасу 6-й квартал
1885,Яккасарайский,3,65.5,2,4,60800.0,Богибустон
1886,Мирзо-Улугбекский,3,73.0,5,5,39000.0,Карасу 6-й квартал
1887,Мирзо-Улугбекский,2,50.0,1,4,30000.0,Ялангач
1888,Мирзо-Улугбекский,2,40.0,1,3,26000.0,Зиёлилар
1889,Мирзо-Улугбекский,2,40.0,5,5,31500.0,Буз-1 (Буз базар) 
1890,Яккасарайский,1,44.0,2,9,27000.0,Башлык
1891,Юнусабадский,2,60.0,4,5,37000.0,Юнусабад 9-й квартал
1892,Яшнободский,1,59.0,3,6,23600.0,Чилонота
1893,Учтепинский,2,47.0,5,5,32000.0,Чиланзар 24-й квартал
1894,Учтепинский,4,80.0,1,5,70000.0,Чиланзар 24-й квартал
1895,Учтепинский,4,80.0,5,5,43000.0,Чиланзар 24-й квартал
1896,Юнусабадский,3,78.0,4,4,55000.0,Киёт
1897,Мирзо-Улугбекский,2,60.0,6,9,34000.0,Городок Тракторостроителей 2-й квартал
1898,Чиланзарский,2,42.0,4,5,28500.0,Чиланзар квартал Ц
1899,Мирзо-Улугбекский,2,42.0,2,5,33500.0,Буз-1 (Буз базар) 
1900,Мирзо-Улугбекский,2,55.0,5,5,35000.0,Буз-1 (Буз базар) 
1901,Учтепинский,1,42.0,2,5,28000.0,Чиланзар 15-й квартал
1902,Мирзо-Улугбекский,2,55.0,4,4,35000.0,Буз-1 (Буз базар) 
1903,Юнусабадский,2,50.0,4,4,33500.0,Ахмада Дониша
1904,Сергелийский,1,44.0,5,7,29000.0,Сергели-VII
1905,Шайхантахурский,3,70.0,2,4,70000.0,Бешагач
1906,Яккасарайский,2,36.0,1,4,30000.0,Ракат
1907,Мирзо-Улугбекский,4,138.0,5,9,295000.0,Осиё
1908,Мирзо-Улугбекский,2,52.0,1,5,31000.0,Мирзо-Улугбекский район массив Феруза-2
1909,Яккасарайский,3,75.0,6,8,115000.0,Мукими
1910,Яшнободский,3,75.0,5,9,64700.0,Садыка Азимова (Жуковского) 
1911,Мирзо-Улугбекский,2,50.0,3,4,40000.0,Феруза-1
1912,Шайхантахурский,3,78.0,6,9,55000.0,Лабзак
1913,Мирабадский,3,61.0,4,4,60000.0,other_high
1914,Учтепинский,2,48.0,5,5,27500.0,Чиланзар 26-й квартал
